538,158376434,270,34142388
Alabama,AL,9,1161642
Alaska,AK,3,179766
Arizona,AZ,11,1693664
Arkansas,AR,6,609535
Connecticut,CT,7,912141
Delaware,DE,3,252006
District of Columbia,DC,3,172179
Hawaii,HI,4,287235
Idaho,ID,4,434008
Illinois,IL,20,3016873
Indiana,IN,11,1516561
Iowa,IA,6,845436
Kansas,KS,6,686152
Kentucky,KY,8,1068385
Louisiana,LA,8,1074032
Maine,ME,4,409731
Mississippi,MS,6,656880
Montana,MT,3,301821
Nebraska,NE,5,475857
Nevada,NV,6,702689
New Hampshire,NH,4,403103
New Mexico,NM,5,461983
New York,NY,29,4297414
North Dakota,ND,3,180910
Oklahoma,OK,7,780350
Oregon,OR,7,1187161
Rhode Island,RI,4,258879
South Carolina,SC,9,1256665
South Dakota,SD,3,211305
Tennessee,TN,11,1526926
Texas,TX,38,5657529
Utah,UT,6,744145
Vermont,VT,3,183715
West Virginia,WV,5,397327
Wyoming,WY,3,138383
