Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.0623528,0.0053577,0.0222117
1,0.0576763,0,0
2,0.0554841,0,0
3,0.0553646,0,0
4,0.057029,0,0
5,0.0546579,0,0
6,0.0570259,0,0
7,0.0595094,0,0
8,0.0645331,0,0
9,0.0630158,0,0
10,0.0594755,0.0039878,0.0195587
11,0.0562767,0,0
12,0.0560608,0,0
13,0.0556722,0,0
14,0.0545761,0,0
15,0.0546492,0,0
16,0.0544289,0,0
17,0.0579887,0,0
18,0.0550572,0,0
19,0.0545812,0,0
20,0.0618505,0.0039704,0.0202554
21,0.0578777,0,0
22,0.0552271,0,0
23,0.057464,0,0
24,0.0655393,0,0
25,0.0705434,0,0
26,0.0618757,0,0
27,0.0634879,0,0
28,0.0645802,0,0
29,0.0616779,0,0
30,0.0668402,0.0074675,0.0234029
31,0.0627058,0,0
32,0.0624709,0,0
33,0.0702704,0,0
34,0.0612923,0,0
35,0.0689302,0,0
36,0.0646652,0,0
37,0.0628423,0,0
38,0.065008,0,0
39,0.0579278,0,0
40,0.0656716,0.006136,0.0229839
41,0.0663146,0,0
42,0.0633999,0,0
43,0.0649135,0,0
44,0.065692,0,0
45,0.063127,0,0
46,0.0646573,0,0
47,0.0649774,0,0
48,0.0653539,0,0
49,0.0634562,0,0
50,0.0727759,0.0057843,0.0214171
51,0.0622135,0,0
52,0.069923,0,0
53,0.063209,0,0
54,0.0631552,0,0
55,0.064912,0,0
56,0.0600884,0,0
57,0.0555103,0,0
58,0.0560931,0,0
59,0.0568839,0,0
60,0.0593538,0.0040604,0.0204156
61,0.0559543,0,0
62,0.054465,0,0
63,0.0548557,0,0
64,0.0546286,0,0
65,0.0548711,0,0
66,0.0543348,0,0
67,0.0563691,0,0
68,0.0553073,0,0
69,0.0555273,0,0
70,0.0602091,0.0040837,0.0207472
71,0.0547306,0,0
72,0.0551577,0,0
73,0.0551437,0,0
74,0.0547507,0,0
75,0.0546556,0,0
76,0.0543425,0,0
77,0.0544633,0,0
78,0.0544482,0,0
79,0.0542878,0,0
80,0.0638799,0.0039922,0.0204203
81,0.0556385,0,0
82,0.0568659,0,0
83,0.0557989,0,0
84,0.0569798,0,0
85,0.0548623,0,0
86,0.0546783,0,0
87,0.0552806,0,0
88,0.0552558,0,0
89,0.0546075,0,0
90,0.0600497,0.0040359,0.0200037
91,0.0570064,0,0
92,0.0553971,0,0
93,0.0575967,0,0
94,0.0546639,0,0
95,0.0545055,0,0
96,0.0546899,0,0
97,0.0577239,0,0
98,0.0552833,0,0
99,0.0543997,0,0
100,0.0589219,0.0039799,0.0203234
101,0.0580155,0,0
102,0.0550228,0,0
103,0.0546518,0,0
104,0.0548368,0,0
105,0.0549914,0,0
106,0.0544875,0,0
107,0.0548302,0,0
108,0.0543981,0,0
109,0.054278,0,0
110,0.0608517,0.0039793,0.0200734
111,0.0560502,0,0
112,0.0565251,0,0
113,0.0572897,0,0
114,0.054399,0,0
115,0.0560022,0,0
116,0.0545258,0,0
117,0.0545263,0,0
118,0.0587148,0,0
119,0.0543911,0,0
120,0.0603935,0.0039831,0.02062
121,0.0562548,0,0
122,0.0554106,0,0
123,0.0545367,0,0
124,0.0545101,0,0
125,0.054387,0,0
126,0.0569622,0,0
127,0.0548162,0,0
128,0.0557044,0,0
129,0.0543291,0,0
130,0.061128,0.0040356,0.0203466
131,0.0544492,0,0
132,0.0552841,0,0
133,0.0542678,0,0
134,0.0554306,0,0
135,0.0560978,0,0
136,0.0555144,0,0
137,0.0548429,0,0
138,0.0547807,0,0
139,0.056614,0,0
140,0.0644846,0.0041902,0.0208737
141,0.0582307,0,0
142,0.0570767,0,0
143,0.0583896,0,0
144,0.0597275,0,0
145,0.0610292,0,0
146,0.0623631,0,0
147,0.0585049,0,0
148,0.0542979,0,0
149,0.0584772,0,0
150,0.0587564,0.0039699,0.0202647
151,0.0563292,0,0
152,0.0591609,0,0
153,0.0544684,0,0
154,0.0551373,0,0
155,0.0545482,0,0
156,0.0543043,0,0
157,0.054921,0,0
158,0.0545041,0,0
159,0.0543585,0,0
160,0.058287,0.0039649,0.0204018
161,0.056948,0,0
162,0.0547722,0,0
163,0.0544152,0,0
164,0.0546079,0,0
165,0.0549785,0,0
166,0.0565044,0,0
167,0.0543749,0,0
168,0.0547581,0,0
169,0.0562518,0,0
170,0.0616099,0.0039749,0.0218474
171,0.055475,0,0
172,0.0561314,0,0
173,0.0559519,0,0
174,0.0551496,0,0
175,0.0577915,0,0
176,0.0546245,0,0
177,0.0554367,0,0
178,0.0549408,0,0
179,0.0561989,0,0
180,0.0604117,0.0041869,0.0208809
181,0.0554455,0,0
182,0.0570576,0,0
183,0.0548344,0,0
184,0.056547,0,0
185,0.0552348,0,0
186,0.0546592,0,0
187,0.0542816,0,0
188,0.056981,0,0
189,0.0564182,0,0
190,0.05904,0.0039864,0.0202418
191,0.0555161,0,0
192,0.0546605,0,0
193,0.0544516,0,0
194,0.0545491,0,0
195,0.0550366,0,0
196,0.0565437,0,0
197,0.056572,0,0
198,0.0555366,0,0
199,0.054402,0,0
200,0.0591155,0.0040205,0.0203154
201,0.0549389,0,0
202,0.0542701,0,0
203,0.0595588,0,0
204,0.0560102,0,0
205,0.0559875,0,0
206,0.0554848,0,0
207,0.0578657,0,0
208,0.0549826,0,0
209,0.0542794,0,0
210,0.0665306,0.0039817,0.0205869
211,0.0562098,0,0
212,0.0562261,0,0
213,0.0555943,0,0
214,0.0568466,0,0
215,0.0553846,0,0
216,0.0553712,0,0
217,0.0553912,0,0
218,0.0549724,0,0
219,0.056202,0,0
220,0.0594479,0.0056103,0.0200889
221,0.0597903,0,0
222,0.0569176,0,0
223,0.0557868,0,0
224,0.0557643,0,0
225,0.0555369,0,0
226,0.0551453,0,0
227,0.0555648,0,0
228,0.0554889,0,0
229,0.0558865,0,0
230,0.0596257,0.0039778,0.0213395
231,0.056477,0,0
232,0.0554098,0,0
233,0.0557077,0,0
234,0.0567397,0,0
235,0.0556127,0,0
236,0.0556501,0,0
237,0.0559925,0,0
238,0.0555154,0,0
239,0.0559472,0,0
240,0.0604072,0.0041769,0.0213936
241,0.0552018,0,0
242,0.0556983,0,0
243,0.0553781,0,0
244,0.0552765,0,0
245,0.0556072,0,0
246,0.0560885,0,0
247,0.0571478,0,0
248,0.0554767,0,0
249,0.0550249,0,0
250,0.060987,0.0047839,0.0209565
251,0.0561793,0,0
252,0.0558844,0,0
253,0.0615487,0,0
254,0.0599196,0,0
